1476793820.601000, /muse/acc, 246.09413, 964.8453, 144.53148
1476793820.788000, /muse/elements/raw_fft0, -1.656158, 2.9931102, 2.3041856, 2.8462343, 3.4071398, 0.97748554, 1.3379021, 0.6809745, -1.8679291, -4.279312, -5.2143865, -3.765153, -1.9870632, -6.6715674, -3.9181662, -11.781183, -8.575926, -9.850187, -10.173795, -15.824903, -9.652012, -9.577958, -19.856928, -19.404554, -20.478813, -14.688422, -15.238023, -17.727324, -18.527435, -15.766333, -11.214942, -11.236328, -9.533429, -13.196531, -11.529289, -12.753531, -15.087143, -14.620859, -16.690031, -15.318493, -16.155777, -20.544083, -16.097937, -19.02908, -17.354431, -14.576262, -15.42487, -16.265055, -17.276535, -18.733013, -19.336464, -18.04406, -17.487679, -15.286979, -10.454674, -15.121569, -19.17923, -14.47028, -13.439576, -19.317352, -17.055048, -18.096413, -19.972878, -22.865658, -21.892488, -25.66551, -25.880493, -22.381315, -17.543303, -2.8128455, -3.2033255, -20.366306, -26.944187, -22.858261, -20.549154, -25.396763, -18.846107, -17.125546, -18.5673, -21.64848, -18.692802, -17.829191, -23.64691, -22.228922, -18.50639, -15.134565, -14.4399, -19.72915, -17.921389, -21.741405, -21.792978, -19.293331, -25.906618, -26.200232, -21.508196, -17.079033, -16.470846, -17.884977, -14.97021, -16.326965, -25.386902, -22.669092, -25.15378, -20.393122, -24.18464, -18.129284, -23.552956, -24.214485, -17.855667, -20.591274, -18.49807, -15.09172, -16.511673, -17.882935, -18.16551, -21.239923, -20.371704, -22.627304, -28.464663, -24.164793, -28.204079, -27.284622, -25.246428, -25.559813, -23.049328, -26.388817, -28.467707, -29.780191, -25.690868
1476793820.789000, /muse/elements/raw_fft1, -7.646612, -1.1472946, -0.95176554, -3.837556, -2.7426462, -4.3688703, -5.0562305, -6.8109026, -8.528021, -5.7252307, -0.9866052, -0.54879296, -4.4584894, -7.312603, -3.4086218, -3.7833922, -2.4267297, -9.185729, -3.203079, -3.2155082, -7.848276, -4.4490376, -1.3680824, -8.078779, -11.855967, -6.498864, -1.0240629, -6.3313503, -2.7002232, -5.7834997, 0.39847845, 2.5275238, 4.7517304, -0.88273966, 0.28707695, -4.967004, -3.8887722, -0.2428582, 4.7454453, -0.5988599, -1.2836977, -2.1082275, 2.1394427, -2.0871017, -1.0924464, -0.100601286, -2.8834229, 0.88406736, 1.9933987, -3.0105262, -0.40375698, -3.699958, -3.3515878, 4.9250913, 9.93875, 1.591215, -5.7232785, 2.7142875, 5.9659457, -3.6107044, -5.8914804, -1.5010397, -5.3606944, -7.2145677, -2.9147732, -5.394442, -10.964913, -12.417765, -13.680575, -11.201313, -10.788047, -16.465551, -14.25376, -8.021633, -7.081155, -7.2152443, -8.635683, -5.8064656, -3.2087405, -3.619644, -11.38326, -0.044079248, 4.040171, -3.029697, -3.099219, 2.9786932, 4.17552, -4.5940156, -7.547129, -10.506452, -5.505589, 0.8381832, 0.9219428, -0.2756464, -3.9800007, -3.9119809, -6.3085103, -0.23013346, 3.1380277, -3.592617, -5.4954934, 0.5609176, -0.5987972, 0.85390663, -0.038530163, -5.8624735, 1.383691, 3.441663, 6.14783, 0.622757, 1.6383716, -4.0948057, -3.2367446, -4.1192603, -8.646711, -4.211411, -0.475606, -4.2172904, -1.6068047, -2.0076537, -8.02381, -6.625015, -6.9233212, -5.7727046, -3.9721775, -5.4704533, -8.922517, -7.8868766, -10.156957
1476793820.791000, /muse/elements/raw_fft2, 6.4520755, 10.964611, 2.8573098, -4.8229356, -5.71252, -9.636654, -7.7466455, -5.6384845, -13.515105, -15.388037, -10.758671, -10.13552, -12.009513, -13.138934, -14.159606, -15.949891, -10.197492, -11.080248, -9.378157, -11.354259, -11.603999, -11.688986, -10.005948, -10.03142, -13.909472, -10.886613, -6.1071916, -13.376892, -13.311365, -15.448185, -11.585207, -6.3127866, -3.122593, -8.625013, -7.9835424, -10.843839, -10.292553, -7.8107414, -3.1814888, -8.266808, -9.893525, -11.207959, -8.085574, -14.616642, -9.790165, -10.497949, -15.199508, -8.257721, -6.3843164, -14.2949505, -9.780525, -13.002858, -10.770337, -4.152059, 0.7572645, -7.065789, -16.377314, -5.945449, -3.0356643, -12.325484, -14.156822, -10.776498, -15.580318, -14.736751, -12.365044, -14.290976, -18.902882, -25.296432, -29.668554, -16.95759, -16.893385, -26.434221, -21.866213, -17.618845, -17.692265, -15.560609, -20.666563, -16.427126, -10.765713, -14.415872, -16.64064, -8.823195, -4.1802754, -10.562891, -11.292785, -5.750334, -5.130189, -12.960057, -14.982903, -18.62727, -15.478428, -9.33952, -8.22293, -7.2968063, -12.376431, -15.078488, -18.137403, -8.728194, -5.7748117, -12.659293, -14.328199, -8.282293, -9.173063, -7.188476, -8.526601, -12.780495, -6.9045935, -5.4201, -2.9308329, -8.394716, -8.156, -12.988917, -11.141474, -12.148292, -16.663282, -12.72766, -9.802426, -13.0061245, -10.308323, -11.615424, -15.880038, -17.358746, -16.33201, -15.198231, -14.037132, -15.349602, -16.268436, -16.183245, -19.714546
1476793820.792000, /muse/elements/raw_fft3, -0.09121542, 4.7514763, 4.736144, 1.7252159, 1.3384668, 1.8272425, 1.9083961, 1.017269, -2.7678053, -7.624794, -9.819882, -9.614025, -4.848259, -8.987354, -8.269202, -8.450031, -5.2381077, -11.90421, -12.6041355, -13.359146, -10.346332, -8.578117, -8.677544, -9.621782, -12.469084, -10.44, -15.683206, -19.804966, -14.023172, -11.786706, -12.215845, -11.88518, -12.859457, -16.305403, -15.7476845, -17.192715, -17.057806, -17.87151, -14.095043, -13.972773, -19.095709, -15.666821, -9.149415, -13.062583, -13.186728, -17.753067, -16.202595, -11.194552, -11.131969, -18.425007, -17.246113, -17.982767, -16.691236, -10.914988, -6.218994, -15.3350935, -18.910501, -15.493744, -11.538171, -14.238557, -15.38597, -14.543765, -14.039236, -17.354378, -17.57147, -21.432491, -25.126549, -19.995146, -20.017756, -15.696388, -16.335587, -30.541437, -28.205679, -19.782139, -18.687115, -22.491941, -19.30948, -17.886158, -13.971678, -14.823914, -18.856934, -14.707655, -11.504109, -16.416561, -20.21085, -13.328088, -11.670117, -17.74821, -15.835652, -20.077847, -17.940596, -11.392536, -12.574726, -14.58442, -16.543787, -20.570066, -17.77176, -15.650828, -12.6191, -18.40744, -17.552542, -14.900396, -15.766092, -17.276482, -18.64633, -18.378637, -12.585621, -10.838677, -10.147361, -16.383741, -14.400545, -16.279928, -20.771755, -23.702349, -25.029875, -19.274527, -13.179484, -14.734615, -15.857031, -16.76003, -18.633076, -19.05464, -19.723663, -18.597727, -16.586313, -18.468054, -27.039993, -25.81907, -23.254902
1476793820.792000, /muse/elements/low_freqs_absolute, 1.4347607, 0.5621547, 0.9125676, 1.4228975
1476793820.792000, /muse/elements/alpha_absolute, 0.830443, 0.9358863, 0.59945154, 0.8872504
1476793820.792000, /muse/elements/beta_absolute, 0.09867355, 1.0888226, 0.41559672, 0.21283594
1476793820.792000, /muse/elements/delta_absolute, 1.1197617, 0.29922086, 0.8808452, 1.1035757
1476793820.792000, /muse/elements/gamma_absolute, -0.38294095, 1.2014263, 0.40853852, -0.19609733
1476793820.792000, /muse/elements/theta_absolute, 1.1472644, 0.21936268, -0.2396152, 1.1394199
1476793820.792000, /muse/elements/alpha_session_score, 0.70212764, 0.54347825, 1.0, 0.8125
1476793820.792000, /muse/elements/beta_session_score, 0.5, 0.13636364, 0.8947368, 0.88
1476793820.793000, /muse/elements/delta_session_score, 0.88235295, 0.22772278, 0.79617834, 0.78640777
1476793820.793000, /muse/elements/gamma_session_score, 0.114285715, 0.0952381, 0.8, 0.0
1476793820.793000, /muse/elements/theta_session_score, 1.0, 0.09859155, 0.07, 1.0
1476793820.793000, /muse/eeg, 857.0347, 822.4902, 804.3954, 855.3898
1476793820.793000, /muse/eeg, 852.0998, 848.8099, 812.6203, 847.16486
1476793820.793000, /muse/eeg, 853.7448, 850.45483, 812.6203, 847.16486
1476793820.793000, /muse/acc, 253.90665, 968.7515, 144.53148
1476793820.793000, /muse/acc, 257.8129, 964.8453, 148.43773
1476793820.793000, /muse/drlref, 1641935.5, 1648387.1
1476793820.793000, /muse/acc, 261.71915, 960.939, 148.43773
1476793820.794000, /muse/acc, 261.71915, 964.8453, 148.43773
1476793820.794000, /muse/eeg, 861.9697, 829.07007, 802.7504, 853.7448
1476793820.794000, /muse/eeg/quantization, 1, 1, 1, 1
1476793820.794000, /muse/eeg, 853.7448, 858.67975, 812.6203, 843.87494
1476793820.794000, /muse/eeg, 850.45483, 861.9697, 810.9753, 842.2299
1476793820.794000, /muse/eeg, 855.3898, 840.58496, 806.04034, 845.5199
1476793820.794000, /muse/eeg, 857.0347, 857.0347, 809.3303, 845.5199
1476793820.794000, /muse/eeg, 852.0998, 815.9103, 794.5255, 853.7448
