1476846082.765000, /muse/elements/gamma_session_score, 0.20547946, 0.056179777, 0.4861111, 0.7704918
1476846082.765000, /muse/elements/theta_session_score, 0.6923077, 0.9782609, 0.8515625, 0.17045455
1476846082.765000, /muse/eeg, 832.36005, 843.87494, 830.7151, 840.58496
1476846082.765000, /muse/eeg, 827.4251, 847.16486, 822.4902, 829.07007
1476846082.765000, /muse/eeg, 825.78015, 845.5199, 819.2002, 820.8452
1476846082.765000, /muse/eeg, 838.94, 840.58496, 819.2002, 817.55524
1476846082.765000, /muse/eeg, 835.65, 843.87494, 820.8452, 812.6203
1476846082.765000, /muse/eeg, 832.36005, 847.16486, 827.4251, 822.4902
1476846082.765000, /muse/eeg, 832.36005, 850.45483, 827.4251, 817.55524
1476846082.765000, /muse/eeg, 825.78015, 848.8099, 829.07007, 824.13513
1476846082.765000, /muse/eeg, 842.2299, 847.16486, 822.4902, 832.36005
1476846082.765000, /muse/eeg, 848.8099, 847.16486, 827.4251, 829.07007
1476846082.765000, /muse/eeg, 835.65, 850.45483, 829.07007, 824.13513
1476846082.765000, /muse/eeg, 837.295, 852.0998, 824.13513, 829.07007
1476846082.765000, /muse/eeg, 834.005, 848.8099, 824.13513, 825.78015
1476846082.765000, /muse/acc, 359.37555, 945.31396, 109.37517
1476846082.771000, /muse/acc, 359.37555, 945.31396, 109.37517
1476846082.790000, /muse/acc, 359.37555, 937.50146, 109.37517
1476846082.826000, /muse/acc, 359.37555, 929.68896, 113.281425
1476846082.826000, /muse/eeg, 834.005, 848.8099, 829.07007, 835.65
1476846082.826000, /muse/eeg/quantization, 1, 1, 1, 1
1476846082.827000, /muse/eeg, 842.2299, 853.7448, 824.13513, 834.005
1476846082.827000, /muse/eeg, 835.65, 857.0347, 824.13513, 819.2002
1476846082.827000, /muse/eeg, 830.7151, 850.45483, 815.9103, 810.9753
1476846082.827000, /muse/eeg, 838.94, 848.8099, 812.6203, 830.7151
1476846082.827000, /muse/eeg, 843.87494, 847.16486, 824.13513, 832.36005
1476846082.827000, /muse/eeg, 850.45483, 853.7448, 832.36005, 838.94
1476846082.827000, /muse/eeg, 832.36005, 850.45483, 827.4251, 832.36005
1476846082.827000, /muse/eeg, 830.7151, 845.5199, 820.8452, 824.13513
1476846082.828000, /muse/elements/alpha_relative, 0.059901163, 0.08223284, 0.070250936, 0.21314108
1476846082.828000, /muse/elements/beta_relative, 0.1689146, 0.041613903, 0.039833833, 0.1860024
1476846082.828000, /muse/elements/delta_relative, 0.54352975, 0.58734554, 0.64496875, 0.3691673
1476846082.828000, /muse/elements/gamma_relative, 0.070403636, 0.030809732, 0.04482201, 0.14712666
1476846082.828000, /muse/elements/theta_relative, 0.15725088, 0.25799802, 0.20012446, 0.08456256
1476846082.828000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1476846082.828000, /muse/elements/is_good, 1, 1, 1, 1
1476846082.828000, /muse/elements/blink, 0
1476846082.828000, /muse/elements/jaw_clench, 0
1476846082.828000, /muse/elements/touching_forehead, 1
